Wavelength (nm),k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
1374.2221805332913,0.002445264798308453,0.000970696174435134,0.0011380362180276032,0.0015861806102068473,0.0001228820474505679,0.0012026694495329067,0.0012026694495329067,0.0012026694495329067,0.0012026694495329067,0.0012026694495329067
1301.8946973473287,0.00019042308571892767,0.0010330803808596232,0.001359044618926848,0.002226395151296878,6.380431533753243e-05,0.0007614396336925424,0.0007614396336925424,0.0007614396336925424,0.0007614396336925424,0.0007614396336925424
1236.799962479962,0.002911731759455577,0.0015663490893112024,0.00039356745362632134,0.0017498138255640655,9.231690888059584e-05,0.00331702987368276,0.00331702987368276,0.00331702987368276,0.00331702987368276,0.00331702987368276
1177.9047261713927,0.002729328755803798,0.0010138672394604884,0.00023701444090559607,0.0005247135298121841,9.914698988071102e-06,0.0029182841444551828,0.0029182841444551828,0.0029182841444551828,0.0029182841444551828,0.0029182841444551828
1124.363602254511,0.001813329453208206,0.0012824258420480728,0.0005744519991760696,0.0017182485598186727,4.502070769085371e-05,0.0006534269635514524,0.0006534269635514524,0.0006534269635514524,0.0006534269635514524,0.0006534269635514524
1075.4782282434455,0.0012390656328664935,0.0005810332868548433,0.0001164798378987897,0.00041676611076121216,0.0001087637220339044,0.001188117266987082,0.001188117266987082,0.001188117266987082,0.001188117266987082,0.001188117266987082
1030.6666353999683,0.00055081272685159,0.0002028042221985064,0.0004678617624429664,0.0009945624662679715,0.00014804905154823688,0.0007073467759294653,0.0007073467759294653,0.0007073467759294653,0.0007073467759294653,0.0007073467759294653
989.4399699839696,0.000389039965344199,0.00020557546609330753,0.0006675071834831063,0.0012452792683840155,0.00018360488395182967,0.0008169578193133731,0.0008169578193133731,0.0008169578193133731,0.0008169578193133731,0.0008169578193133731
951.3845865230478,1.5248752215957803e-05,9.432449983935994e-05,0.0011650677621585788,0.0002736935206464447,9.758638893785672e-05,0.00012386017778082012,0.00012386017778082012,0.00012386017778082012,0.00012386017778082012,0.00012386017778082012
916.1481203555273,0.00021992274066635263,0.00013450777945935927,0.0004799760783429079,3.46221257353101e-05,3.904004558672234e-05,0.0004545368104206841,0.0004545368104206841,0.0004545368104206841,0.0004545368104206841,0.0004545368104206841
883.4285446285445,0.000159438961957379,0.000594851307148791,0.00042406879535599487,0.000591480010161928,0.00010852855638321886,0.0002992261275254478,0.0002992261275254478,0.0002992261275254478,0.0002992261275254478,0.0002992261275254478
852.9654913654911,0.0011286230139701812,0.0001727465922695077,0.00026456469003974963,0.0005332570364012152,9.545656703222704e-05,0.0005543338303105192,0.0005543338303105192,0.0005543338303105192,0.0005543338303105192,0.0005543338303105192
824.5333083199747,0.001090777911057441,7.159710234348029e-05,0.0009139743017039693,0.000268754644735899,0.00016645555229310554,0.0006081180949597293,0.0006081180949597293,0.0006081180949597293,0.0006081180949597293,0.0006081180949597293
797.9354596644916,0.00018476118466643257,0.00038626816590202486,0.00018077370463954104,0.00013332737890042675,0.0001859736296124652,0.00040075015058846407,0.00040075015058846407,0.00040075015058846407,0.00040075015058846407,0.00040075015058846407
772.9999765499765,0.00047143774704870096,0.00022750509856812832,0.0002568548544673369,0.0001876856588156093,0.00016667706459179063,0.0007217029732102723,0.0007217029732102723,0.0007217029732102723,0.0007217029732102723,0.0007217029732102723
749.5757348363406,0.00037409782071987264,0.00038175450441926687,0.0009042797175653008,1.1561121394138965e-05,0.00023341550682854403,0.0002466935345535737,0.0002466935345535737,0.0002466935345535737,0.0002466935345535737,0.0002466935345535737
727.5293896940954,2.3075154182921945e-05,0.00011890723519570288,0.00015115830643047264,0.0008877210707238983,0.0001668933147029479,0.0007930819848821942,0.0007930819848821942,0.0007930819848821942,0.0007930819848821942,0.0007930819848821942
706.7428357028355,0.00012713563101905223,0.0005280838540760515,0.0007505444035368886,0.00025464615487724116,0.0002484759666020643,0.0009361946462021346,0.0009361946462021346,0.0009361946462021346,0.0009361946462021346,0.0009361946462021346
687.1110902666456,8.965849141559051e-05,0.0001020517613301178,0.0001575383006762264,0.00040658880608600685,0.0002090840008014364,0.0004100529235259652,0.0004100529235259652,0.0004100529235259652,0.0004100529235259652,0.0004100529235259652
668.5405202594392,0.0002769006469576948,0.0001547759422120498,0.0002479967481077769,0.0007264707062665519,0.0001437527678655788,0.0008020586761550103,0.0008020586761550103,0.0008020586761550103,0.0008020586761550103,0.0008020586761550103
650.9473486736644,0.0003040728596384425,0.00015516373405580276,0.00013385214574900694,0.0005736126809149773,0.0002950832762092609,0.0008945805463433451,0.0008945805463433451,0.0008945805463433451,0.0008945805463433451,0.0008945805463433451
634.2563910153652,0.0002910125795677672,0.0004866730057909271,0.0005190850785238026,0.00041386389050124505,0.0002693000004370063,0.0007486486964769438,0.0007486486964769438,0.0007486486964769438,0.0007486486964769438,0.0007486486964769438
618.399981239981,0.00030413505888191836,0.0002831513897865025,0.00037649119116073206,0.0007694142805608798,0.0001374641614037322,0.0001532141564154974,0.0001532141564154974,0.0001532141564154974,0.0001532141564154974,0.0001532141564154974
603.3170548682745,0.00010866325114485114,0.0004152777124820592,0.000731625619226952,0.000183957778934917,0.00023173794112557415,0.0009796452139571843,0.0009796452139571843,0.0009796452139571843,0.0009796452139571843,0.0009796452139571843
588.9523630856963,2.8202186630689688e-05,0.00064072877281,7.080689130168723e-05,0.0006245867781980856,0.0001917327410746524,0.0007960349122621838,0.0007960349122621838,0.0007960349122621838,0.0007960349122621838,0.0007960349122621838
